AAS  198	Directed Group Study           [001] (Chapman)
ECON 120B	Econometrics B                 [B00] (Foster)
ECON 120C	Econometrics C                 [A00] (O)
ECON 122	Econometric Theory             [A00] (Beare)
ECON 131	Economics of the Environment   [A00] (Jacobsen)
ECON 140	Economics of Health Producers  [A00] (Clemens)
ECON 142	Behavioral Economics           [A00] (Trevino)
ECON 147	Economics of Education         [A00] (Betts)
ECON 171	Decisions Under Uncertainty    [A00] (Newhouse)
ECON 172A	Operations Research A          [A00] (Newhouse)
ECON 173A	Financial Markets              [A00] (O)
ECON 173B	Corporate Finance              [A00] (Ramey)
ECON 176	Marketing                      [A00] (Sinitsyn)
ECON 178	Economic&Business Forecasting  [A00] (Foster)
ECON 191A	Senior Essay Seminar A         [A00] (Cullen)
ECON 195	Intro/Teaching Economics       [A00] (Famulari)
ECON 199	Independent Study              [001] (Wuthrich)
ECON 200A	Microeconomics A               [A00] (Machina)
ECON 202A	Workshop in Economic Theory    [A00] (Trevino)
ECON 205	Mathematics for Economists     [A00] (Sobel)
ECON 210A	Macroeconomics A               [A00] (Lagakos)
ECON 210D	Monetary Econ and Bus Cycles   [A00] (Hamilton)
ECON 212A	Workshop in Macroeconomics     [A00] (Lagakos)
ECON 220A	Econometrics A                 [B00] (Beare)
ECON 220D	Econometrics D                 [B00] (Beare)
ECON 222A	Workshop in Econometrics       [A00] (Wuthrich)
ECON 231	Pub Econ:Pub Goods/Externality [B00] (Cullen)
ECON 235A	Workshop in Applied Economics  [A00] (Clemens)
ECON 249A	Int'l/Development Workshop I   [A00] (Bharadwaj)
ECON 250	Labor Economics                [A00] (Antonovics)
ECON 263	Modeling Behavioral Economics  [A00] (Trevino)
ECON 272	Finance:T&T Intrtmprl Asset Pr [A00] (Toda)
ECON 281	Special Topics in Economics    [A00] (Jacobsen)
ECON 281	Special Topics in Economics    [B00] (Watson)
ECON 285	Pre
ECON 286	Grad Resrch Presntation Worksh [A00] (Beare)
ECON 286	Grad Resrch Presntation Worksh [B00] (Lagakos)
ECON 286	Grad Resrch Presntation Worksh [C00] (Machina)
ECON 286	Grad Resrch Presntation Worksh [D00] (Muendler)
ECON 286	Grad Resrch Presntation Worksh [E00] (Fadlon)
ECON 286	Grad Resrch Presntation Worksh [F00] (Carson)
ECON 291	Advanced Field Advising        [001] (Lagakos)
ECON 291	Advanced Field Advising        [002] (Sobel)
ECON 296	Original Research Paper        [B00] (Bharadwaj)
ECON 297	Independent Study              [001] (Bharadwaj)
ECON 297	Independent Study              [002] (Cullen)
ECON 297	Independent Study              [003] (Lagakos)
ECON 299	Research in Economics          [001] (Andreoni)
ECON 299	Research in Economics          [002] (Antonovics)
ECON 299	Research in Economics          [003] (Berman)
ECON 299	Research in Economics          [004] (Betts)
ECON 299	Research in Economics          [005] (Bharadwaj)
ECON 299	Research in Economics          [006] (Carson)
ECON 299	Research in Economics          [007] (Chambers)
ECON 299	Research in Economics          [008] (Cullen)
ECON 299	Research in Economics          [009] (Gordon)
ECON 299	Research in Economics          [010] (Hamilton)
ECON 299	Research in Economics          [011] (Lagakos)
ECON 299	Research in Economics          [012] (Sobel)
ECON 299	Research in Economics          [013] (Sprenger)
ECON 299	Research in Economics          [014] (Watson)
ECON 500A	Teaching Methods in Economics  [A00] (Rauch)
ECON 500A	Teaching Methods in Economics  [B00] (Rauch)
ECON 500A	Teaching Methods in Economics  [C00] (Rauch)
EDS   31	Introductn to Teaching Science [A00] (Bussey)
EDS   39	Prac/Sci&MathTeching/Learning  [A00] (Heinzman)
EDS   50	CASP Frosh Intro Course        [A00] (Hofstetter)
EDS   50	CASP Frosh Intro Course        [B00] (Hofstetter)
EDS   50	CASP Frosh Intro Course        [C00] (Hofstetter)
EDS   50	CASP Frosh Intro Course        [D00] (Hofstetter)
EDS   50	CASP Frosh Intro Course        [E00] (Hofstetter)
EDS   50	CASP Frosh Intro Course        [F00] (Hofstetter)
EDS   50	CASP Frosh Intro Course        [G00] (Hofstetter)
EDS   50	CASP Frosh Intro Course        [H00] (Hofstetter)
EDS   87	Freshman Seminar               [A00] (Simon)
EDS  114	Cogn Develp&Intractv Compt Env [A00] (Esper)
EDS  116	Psych/Teach&Struc/Information  [A00] (Garcia)
EDS  117	Language, Culture & Education  [A00] (Gallagher
EDS  117	Language, Culture & Education  [B00] (Chung)
EDS  118	Adolescent Devlp & Education   [A00] (Page)
EDS  120	Intro. to Design
EDS  125	Hist,Polic&Theory/Bilingual Ed [A00] (Allen)
EDS  126	Social Organization/Education  [A00] (Binder)
EDS  129A	Intro/Teach&Learn (Secondary)  [A00] (Millstone)
EDS  130	Intro/Acad Ment/Elem Schl Stdn [A00] (Holtzman)
EDS  131	Early Child Dev & Education    [A00] (Wishard Guerra)
EDS  136	Intro/Acad Tut/Second Schl Std [A00] (Drake)
EDS  139	Practicum in Teaching/Learning [A00] (Holtzman)
EDS  139	Practicum in Teaching/Learning [B00] (Millstone)
EDS  139	Practicum in Teaching/Learning [C00] (Drake)
EDS  139	Practicum in Teaching/Learning [D00] (Wishard Guerra)
EDS  139	Practicum in Teaching/Learning [E00] (Holtzman)
EDS  150	CASP Transfer Intro Course     [A00] (Hofstetter)
EDS  150	CASP Transfer Intro Course     [B00] (Hofstetter)
EDS  150	CASP Transfer Intro Course     [C00] (Hofstetter)
EDS  190	Research Practicum             [A00] (Bresser)
EDS  190	Research Practicum             [B00] (Whiteside)
EDS  190	Research Practicum             [C00] (Scharton)
EDS  190	Research Practicum             [D00] (Pappas)
EDS  190	Research Practicum             [E00] (Allen)
EDS  199	Special Studies                [A00] (Wishard Guerra)
EDS  199	Special Studies                [B00] (Cohen)
EDS  201	Intro/Resources/Tching&Lrning  [A00] (Han)
EDS  203	Technology,Teaching & Learning [A00] (Halter)
EDS  240A	Resrch/ASL
EDS  250	Equitable Educ/Res & Practice  [A00] (Chung)
EDS  251	Transforming Learning Enviro   [A00] (Wishard Guerra)
EDS  255	Advanced Quantitative Analysis [B00] (Hofstetter)
EDS  264	Intro to Qualitative Analysis  [A00] (Datnow)
EDS  283	Leadership for Organiztn Chang [A00] (Daly)
EDS  285	Leadership for the Future      [A00] (Daly)
EDS  286	Advanced Topics in Leadership  [A00] (Daly)
EDS  289D	Disseration Writing Seminar    [A00] (Hofstetter)
EDS  290	Research Practicum             [A00] (Hofstetter)
EDS  290	Research Practicum             [B00] (Jones)
EDS  292	Qualifying Paper Preparation   [A00] (Hofstetter)
EDS  296	Research Apprenticeship        [001] (Cohen)
EDS  296	Research Apprenticeship        [002] (Daly)
EDS  296	Research Apprenticeship        [003] (Pollock)
EDS  296	Research Apprenticeship        [004] (Contreras)
EDS  296	Research Apprenticeship        [005] (Cohen)
EDS  296	Research Apprenticeship        [006] (Jones)
EDS  296	Research Apprenticeship        [007] (Hofstetter)
EDS  296	Research Apprenticeship        [008] (Datnow)
EDS  297	Directed Group Study           [A00] (Chapman)
EDS  299	Dissertation Research          [001] (Daly)
EDS  299	Dissertation Research          [002] (Hofstetter)
EDS  299	Dissertation Research          [003] (Contreras)
EDS  342A	ASL
EDS  351	Teaching/English Lang Learner  [A00] (Pappas)
EDS  351	Teaching/English Lang Learner  [B00] (Black)
EDS  352A	Bilingual Instr Practices I    [A00] (Forbes)
EDS  355A	Adv Math Teaching Prct/K
EDS  361A	Innovative Instruct Pract I    [A00] (Bresser)
EDS  379A	SinglSubj(Secnd)Intrn Prac I   [A00] (Millstone)
EDS  500	Apprentice Teaching/Education  [A00] (Hofstetter)
EMED 225	Introduction to Emergency Med  [A00] (Guluma)
EMED 275	Wilderness Medicine            [A00] (Van Hoesen)
EMED 296	Independent Reseach            [001] (Staff)
EMED 296	Independent Reseach            [002] (Staff)
EMED 296	Independent Reseach            [003] (Staff)
EMED 296	Independent Reseach            [004] (Staff)
EMED 299	Independent Study Project      [001] (Clark)
EMED 299	Independent Study Project      [002] (Sloane)
EMED 299	Independent Study Project      [003] (Staff)
EMED 299	Independent Study Project      [004] (Staff)
EMED 299	Independent Study Project      [005] (Staff)
EMED 411	Clinical Emergency Medicine    [A00] (Guluma)
EMED 420	Subinternship in Emergengy Med [A00] (Guluma)
EMED 423	Elective in Medical Toxicology [A00] (Schneir)
EMED 425	Emergency Ultrasound           [A00] (Medak)
EMED 427	Wilderness Medicine Elective   [A00] (Van Hoesen)
EMED 473	Subint: Diving/Hyperbaric Med  [A00] (Grover)
EMED 496	Clinical Independent Study     [001] (Guluma)
EMED 496	Clinical Independent Study     [002] (Guluma)
EMED 496	Clinical Independent Study     [003] (Staff)
EMED 496	Clinical Independent Study     [004] (Staff)
ENG    1	Orientation to Engineering I   [A00] (Hayden)
ENG   10	Fundamentals/Engineering Appln [A00] (Staff)
ENG   10	Fundamentals/Engineering Appln [B00] (Staff)
ENG  100A	Team Engineering               [A00] (Williams)
ENG  100D	Design for Development         [B00] (Reynante)
ENG  100D	Design for Development         [C00] (Reynante)
ENG  100D	Design for Development         [D00] (Reynante)
ENG  100L	Design for Development Lab     [001] (Griswold)
ENG  100L	Design for Development Lab     [002] (Nguyen)
ENG  100L	Design for Development Lab     [003] (Smith)
ENG  100L	Design for Development Lab     [004] (Kleissl)
ENG  100L	Design for Development Lab     [005] (Bratton)
ENG  100L	Design for Development Lab     [006] (Goldberg)
ENG  100L	Design for Development Lab     [007] (Bratton)
ENG  100L	Design for Development Lab     [008] (Tu)
ENG  100L	Design for Development Lab     [009] (de Oliveira)
ENG  100L	Design for Development Lab     [010] (Stokes)
ENG  201	Venture Mechanics              [A00] (Eremenko)
ENG  210	Systems Engineering            [A00] (Eremenko)
ENVR  30	Environmental Issues:Nat Sci   [A00] (Staff)
ERC    1	First Year Experience          [A00] (Herbst)
ERC    2	Transfer Year Experience       [A00] (Evans)
ERC   20	Frshmn Honors Sem:Intntl Theme [A00] (Evans)
ERC   20	Frshmn Honors Sem:Intntl Theme [B00] (Evans)
ERC   87	Freshman Seminar               [A00] (Herbst)
ERC   87	Freshman Seminar               [B00] (Herbst)
ERC   89	Practicum in Math Tutoring     [A00] (Evans)
ERC   92	Honors Project                 [001] (Evans)
ERC   92	Honors Project                 [002] (Evans)
ERC   92	Honors Project                 [003] (Evans)
ERC   92	Honors Project                 [004] (Evans)
ERC   92	Honors Project                 [005] (Evans)
ERC  195	Instructional Apprenticeship   [A00] (Herbst)
ERC  195	Instructional Apprenticeship   [B00] (Evans)
ESYS  10	Intro to Environmental Systems [A00] (Teranes)
ESYS  90	Undergraduate Seminar          [A00] (Teranes)
ESYS 101	Environmental Biology          [A00] (Allen)
ETHN   1	Intro: Land and Labor          [A00] (Frank)
ETHN  20	Intro to Asian Amer Studies    [A00] (Ho)
ETHN 100A	Theoretical Approaches         [A00] (Espiritu)
ETHN 103	Environmental Racism           [A00] (De Leon)
ETHN 105	Ethnic Diversity and the City  [A00] (Staff)
ETHN 116	US
ETHN 141	Gandhi in the Modern World     [A00] (Visweswaran)
ETHN 143	Chicana/o Film & Media Studies [A00] (Hidalgo)
ETHN 155	U.S. Militarism                [A00] (Espiritu)
ETHN 160	Global Indigenous Studies      [A00] (De Leon)
ETHN 163J	Asian American Social Movemnts [A00] (Man)
ETHN 177	Listening to the World         [B00] (Staff)
ETHN 178	Blues: An Oral Tradition       [A00] (Chodos)
ETHN 200A	Departures:Genealogy of Racial [A00] (Kheshti)
ETHN 201	Historical Methods & Archives  [A00] (Gore)
ETHN 230	Departmental Colloquium        [A00] (Kheshti)
ETHN 289	Topics/Ethnic Studies Research [A00] (Kheshti)
ETHN 298	Directed Reading               [001] (Staff)
ETHN 298	Directed Reading               [002] (Espiritu)
ETHN 298	Directed Reading               [003] (Frank)
ETHN 298	Directed Reading               [004] (Gore)
ETHN 298	Directed Reading               [005] (Kaplan)
ETHN 298	Directed Reading               [006] (Yang)
ETHN 299	Thesis Research                [001] (el Tayeb)
ETHN 299	Thesis Research                [002] (Espiritu)
ETHN 299	Thesis Research                [003] (Frank)
ETHN 299	Thesis Research                [004] (Gore)
ETHN 299	Thesis Research                [005] (Kaplan)
ETHN 299	Thesis Research                [006] (Vora)
ETHN 299	Thesis Research                [007] (Yang)
ETHN 299	Thesis Research                [008] (Taylor
ETHN 500	Apprntice Teaching/Ethn Stdies [001] (Frank)
ETHN 500	Apprntice Teaching/Ethn Stdies [002] (Ho)
ETHN 500	Apprntice Teaching/Ethn Stdies [003] (Espiritu)
EXPR 100	UC/DC Program Elective         [001] (Staff)
EXPR 102	Bauhaus Exchange Program       [001] (Staff)
EXPR 204	Jnt MAS CWSL Exch Prog         [A00] (Staff)
FILM  87	Film Studies Freshman Seminar  [A00] (Rahimi)
FILM  87	Film Studies Freshman Seminar  [B00] (Rahimi)
FMPH  40	Introduction to Public Health  [A00] (Trinidad)
FMPH 101	Epidemiology                   [A00] (Brouwer)
FMPH 102	Biostatistics in Public Health [A00] (Liu)
FMPH 110	Health Behavior & Chronic Dis  [A00] (Linke)
FMPH 120	Health Policies Healthy Lfesty [A00] (McMenamin)
FMPH 130	Environment & Occuption Health [A00] (Ryan)
FMPH 196A	Honors Practicum I             [A00] (Binkin)
FMPH 199	Independent Study              [001] (Aldelaimy)
FMPH 199	Independent Study              [002] (Anderson)
FMPH 199	Independent Study              [003] (Bloss)
FMPH 199	Independent Study              [004] (Golomb)
FMPH 199	Independent Study              [005] (Groessl)
FMPH 199	Independent Study              [006] (Hartman)
FMPH 199	Independent Study              [007] (Hill)
FMPH 199	Independent Study              [008] (Hong)
FMPH 199	Independent Study              [009] (Kado)
FMPH 199	Independent Study              [010] (Kerr)
FMPH 199	Independent Study              [011] (Larsen)
FMPH 199	Independent Study              [012] (Lewis)
FMPH 199	Independent Study              [013] (Loomba)
FMPH 199	Independent Study              [014] (Marcus)
FMPH 199	Independent Study              [015] (Marquez)
FMPH 199	Independent Study              [016] (McMenamin)
FMPH 199	Independent Study              [017] (Mills)
FMPH 199	Independent Study              [018] (Montross)
FMPH 199	Independent Study              [019] (Ross)
FMPH 199	Independent Study              [020] (Sadler)
FMPH 199	Independent Study              [021] (Suarez)
FMPH 199	Independent Study              [022] (Benmarhnia)
FMPH 199	Independent Study              [023] (Binkin)
FMPH 199	Independent Study              [024] (Linke)
FMPH 199	Independent Study              [025] (Vanos)
FMPH 199	Independent Study              [026] (Strong)
FMPH 199	Independent Study              [027] (Wilkinson)
FMPH 199	Independent Study              [028] (Martinez)
